"bidding_id";"product_id";"user_id";"bid_price";"bid_quantity";"created_time";"verdict"
"11142326";7;123;1000.0;1000;"2026-01-15 18:13:18.020686";"accepted"
"14643253";502;123;101726.0;100;"2026-01-15 19:42:12.147110";"pending"
"15344523";89;123;12.0;123;"2026-01-15 23:09:01.273539";""
"21623552";502;123;10000000.0;10;"2026-01-15 22:56:04.131011";""
"22151653";4098;123;142325.0;12314;"2026-01-15 19:42:30.477453";"pending"
"32665451";7;123;1000.0;1000;"2026-01-15 18:13:50.753607";"rejected"
"36634244";89;123;12.0;123;"2026-01-15 23:09:22.314499";""
"41644535";7;123;10.0;10;"2026-01-15 17:53:12.177986";"rejected"
"42134425";89;123;12.0;12451;"2026-01-15 23:07:33.220593";""
"43623143";7;123;10.0;10;"2026-01-15 17:53:16.186968";"accepted"
"45363111";7;123;10.0;10;"2026-01-15 17:53:16.433557";"accepted"
"45565423";7;123;10.0;10;"2026-01-15 17:52:54.453708";"accepted"
"46341352";89;123;10.0;10;"2026-01-15 17:50:28.827669";"accepted"
"46352433";7;123;124513.0;1000;"2026-01-15 18:17:40.961936";"rejected"
"52425225";7;123;10.0;10;"2026-01-15 17:53:08.626397";"rejected"
"53623443";7;123;10.0;10;"2026-01-15 17:53:14.845377";"pending"
"56414144";235;123;10.0;10;"2026-01-15 17:54:40.461602";"pending"
"61525353";7;123;10000.0;10;"2026-01-15 18:14:02.950408";"pending"
"65422552";7;123;10.0;10;"2026-01-15 18:12:26.036319";"pending"
"BID001";1;123;44.5;200;"2026-01-01 10:00";"accepted"
"BID002";1;123;45.0;300;"2026-01-03 11:30";"accepted"
"BID003";12;123;37.8;150;"2026-01-02 09:45";"accepted"
"BID004";12;123;38.2;200;"2026-01-05 14:10";"accepted"
"BID005";235;123;21.5;400;"2026-01-04 16:20";"pending"
"BID006";235;123;22.0;500;"2026-01-07 12:00";"pending"
"BID007";4098;123;88.0;100;"2026-01-03 10:15";"pending"
"BID008";4098;123;90.0;150;"2026-01-06 15:40";"pending"
"BID009";56001;123;64.5;600;"2026-01-08 09:00";"pending"
"BID010";56001;123;65.75;800;"2026-01-10 18:30";"pending"
"BID011";7;123;4.2;1000;"2026-01-02 08:30";"pending"
"BID012";7;123;4.5;1500;"2026-01-06 17:00";"pending"
"BID013";89;123;175.0;60;"2026-01-05 11:20";"accepted"
"BID014";89;123;180.0;80;"2026-01-09 13:55";"accepted"
"BID015";502;123;135.0;50;"2026-01-04 10:10";"pending"
"BID016";502;123;140.0;70;"2026-01-08 16:45";"pending"
"BID017";9001;123;27.0;300;"2026-01-03 09:35";"pending"
"BID018";9001;123;28.0;400;"2026-01-07 14:25";"pending"
"BID019";32045;123;19.5;500;"2026-01-06 10:50";"pending"
"BID020";32045;123;20.0;600;"2026-01-10 19:10";"pending"
"BID021";1;123;46.0;250;"2026-01-11 10:20";"success"
"BID022";1;123;43.75;150;"2026-01-11 12:40";"failure"
"BID023";12;123;39.0;180;"2026-01-12 09:10";"accepted"
"BID024";12;123;40.5;220;"2026-01-12 15:30";"success"
"BID025";235;123;23.25;450;"2026-01-13 11:05";"failure"
"BID026";235;123;24.0;500;"2026-01-13 17:50";"pending"
"BID027";4098;123;92.0;120;"2026-01-14 10:00";"success"
"BID028";4098;123;85.0;90;"2026-01-14 18:15";"failure"
"BID029";56001;123;66.5;700;"2026-01-15 09:30";"pending"
"BID030";56001;123;68.0;900;"2026-01-15 19:45";"success"
