"order_id";"product_id";"bidding_id";"user_id";"verdict"
"1643546131";12;"BID003";123;"placed"
"2536422622";89;"BID013";123;"placed"
"4142625436";12;"BID023";123;"placed"
"4233256566";12;"BID004";123;"placed"
"4315233443";89;"46341352";123;"placed"
"6631612525";89;"BID014";123;"placed"
"ORD001";1;"BID021";123;"processing"
"ORD002";12;"BID024";123;"processing"
"ORD003";4098;"BID027";123;"delivered"
"ORD004";56001;"BID030";123;"processing"
"ORD005";1;"BID021";123;"delivered"
"ORD006";12;"BID024";123;"processing"
"ORD007";4098;"BID027";123;"processing"
"ORD008";56001;"BID030";123;"delivered"
"ORD009";1;"BID021";123;"processing"
"ORD010";12;"BID024";123;"delivered"
